,Method_name,Sum_of_avg_across_patients
1,Tigress,0.929209115344974
2,PCohF,0.924939134125231
3,BCohF,0.905392930703925
4,BCorrU,0.883100471798101
5,Genie,0.835171353940117
6,BCorrD,0.832116556361171
7,PCorrD,0.831492479676097
8,COH1,0.828779433747298
9,pCOH2,0.822831921832183
10,pCOH1,0.796770495054622
11,COH2,0.79349409461802
12,BH2U,0.784685883952655
13,dDTF,0.770405133356464
14,Smvar,0.756853761544372
15,PMITD1,0.748989735782461
16,PMITD2,0.747295568879065
17,BTEU,0.747089243186329
18,PCorrU,0.744589699219804
19,PTEU,0.741845665508793
20,PMITU,0.739005194720588
21,BMITD2,0.736971342947133
22,BMITD1,0.73675026236862
23,BH2D,0.735561482050271
24,PTED,0.729599132992488
25,PH2D,0.7289027801641
26,PH2U,0.728838284417309
27,DC1,0.724592484641328
28,BTED,0.724267816630266
29,GPDC,0.72204194094113
30,ffDTF,0.717293777703009
31,DTF,0.716985408392294
32,AS,0.716306501636203
33,Af,0.71591988166642
34,MVAR,0.715568606619368
35,BMITU,0.715404842812865
36,oPDCF,0.714612491498655
37,PDC,0.714407853463885
38,hmvar,0.712434980217466
39,GGC,0.683730236234937
40,BCohW,0
41,PCohW,0
