,Method_name,Sum_of_avg_across_patients
1,Tigress,0.929567595769314
2,PCohF,0.9280742047584
3,BCohF,0.911291194741183
4,BCorrU,0.886001197564456
5,Genie,0.820172898356425
6,COH1,0.81610131193904
7,BCorrD,0.812012065103294
8,PCorrD,0.808347753002988
9,pCOH2,0.802621938902462
10,pCOH1,0.784464799633054
11,COH2,0.776334316220167
12,BH2U,0.763871640921183
13,Smvar,0.722717935787157
14,PCorrU,0.702760096852307
15,PMITU,0.700446548171334
16,dDTF,0.695976076236737
17,PH2U,0.686379616453667
18,BMITU,0.677971463403508
19,PMITD1,0.660177027120479
20,PMITD2,0.657006439345431
21,BTEU,0.652080295896468
22,PTEU,0.644394727842984
23,BMITD1,0.63971106441978
24,BMITD2,0.639583162084741
25,BH2D,0.637283503783082
26,PH2D,0.624703179375819
27,PTED,0.623320996143706
28,DC1,0.616166429600116
29,BTED,0.614082395165294
30,GPDC,0.610306326326705
31,ffDTF,0.602691460167922
32,DTF,0.602356753292523
33,AS,0.60059763819304
34,Af,0.600404556983633
35,MVAR,0.599821054508577
36,oPDCF,0.598279459187785
37,PDC,0.597666214864278
38,hmvar,0.594213611228583
39,GGC,0.540549869295271
40,BCohW,0
41,PCohW,0
