,Method_name,Median_across_patients
1,PCohF,0.939110880321074
2,Tigress,0.937028511186201
3,BCohF,0.919300654183137
4,BCorrU,0.892218278775014
5,Genie,0.827088915045288
6,COH1,0.822447578421264
7,BCorrD,0.816544475283419
8,PCorrD,0.815258318708644
9,pCOH2,0.804195611621985
10,pCOH1,0.786012983195523
11,COH2,0.779072602126814
12,BH2U,0.767386257503707
13,Smvar,0.718994030844004
14,PCorrU,0.702400015520525
15,PMITU,0.701367069107821
16,dDTF,0.698338698761676
17,PH2U,0.680630168102121
18,BMITU,0.67461747844262
19,PMITD1,0.6620921978026
20,PMITD2,0.657642201517288
21,BTEU,0.653046985061042
22,PTEU,0.646874151938945
23,BH2D,0.640698839011376
24,BMITD1,0.639364481119342
25,BMITD2,0.63852250380233
26,PH2D,0.623791464545077
27,PTED,0.623103431973418
28,DC1,0.621224426737426
29,BTED,0.61187034051655
30,GPDC,0.61122092642116
31,DTF,0.603937436563822
32,AS,0.603230981604844
33,ffDTF,0.602458119922873
34,Af,0.600766294863314
35,PDC,0.598390402192492
36,MVAR,0.598225696576687
37,oPDCF,0.596685470154252
38,hmvar,0.595998745207686
39,GGC,0.536622907050007
40,BCohW,0
41,PCohW,0
