,Method_name,Median_across_patients
1,Tigress,0.933025555394293
2,PCohF,0.930363859491851
3,BCohF,0.910009145728096
4,BCorrU,0.887766333410274
5,Genie,0.838077710057699
6,PCorrD,0.834227259231246
7,BCorrD,0.83386855602432
8,COH1,0.832902474766698
9,pCOH2,0.821663239025632
10,pCOH1,0.795581007396484
11,COH2,0.794171098335506
12,BH2U,0.784836059278117
13,dDTF,0.769742634236239
14,Smvar,0.752583125490652
15,BTEU,0.747671543873931
16,PMITD1,0.746875121200664
17,PMITD2,0.745518494665538
18,PCorrU,0.743300847220626
19,PTEU,0.742878175784848
20,BMITD1,0.735786422086591
21,BMITD2,0.735413450865038
22,PMITU,0.735035232356402
23,BH2D,0.734383579339609
24,PH2D,0.727122954743247
25,PTED,0.726813955927038
26,PH2U,0.725354783387585
27,DC1,0.724221026784676
28,BTED,0.721486789037473
29,GPDC,0.720643026148036
30,AS,0.715880784962037
31,DTF,0.714944327728152
32,MVAR,0.71470501378806
33,Af,0.714588210703916
34,ffDTF,0.714230497938828
35,PDC,0.712417907442626
36,oPDCF,0.711795013488491
37,BMITU,0.71162272761387
38,hmvar,0.711224433682177
39,GGC,0.68098096695727
40,BCohW,0
41,PCohW,0
