,Method_name,Median_across_patients
1,Tigress,0.931714070848948
2,PCohF,0.927035858756686
3,BCohF,0.905726554782211
4,BCorrU,0.88621288625005
5,Genie,0.842404078330615
6,PCorrD,0.841844666001451
7,BCorrD,0.84158463075728
8,COH1,0.83675311597043
9,pCOH2,0.830992598178605
10,pCOH1,0.801757809650667
11,COH2,0.800155721053889
12,dDTF,0.796900667044724
13,BH2U,0.791395601865122
14,BTEU,0.786309184709461
15,PTEU,0.78211014941113
16,PMITD1,0.781835007837825
17,PMITD2,0.780172557302318
18,BMITD2,0.774747100440141
19,BMITD1,0.773576987834361
20,BH2D,0.772098411099583
21,PTED,0.767943690311642
22,PH2D,0.766858129367142
23,Smvar,0.76550942671299
24,BTED,0.765081806038147
25,DC1,0.765056204655288
26,GPDC,0.763206506702069
27,PCorrU,0.76070269394218
28,AS,0.760614630802316
29,MVAR,0.759538242347085
30,DTF,0.759330357082094
31,ffDTF,0.75921056136252
32,Af,0.758668512708277
33,oPDCF,0.757136135206415
34,PDC,0.757054072704457
35,hmvar,0.756902789499549
36,PMITU,0.746854425122841
37,PH2U,0.744081418080623
38,GGC,0.738225816226677
39,BMITU,0.724649071840707
40,BCohW,0
41,PCohW,0
