,Method_name,Median_across_patients
1,BCohF,0.866666666666666
2,BCorrU,0.856666666666667
3,BF_BCmean,0.82
4,BF_BCmedian,0.79
5,BF_PF_BCmean,0.8275
6,BF_PF_BCmedian,0.79
7,BF_PFmean,0.82
8,BF_PFmedian,0.79
9,PCohF,0.913333333333333
10,PF_BCmean,0.825
11,PF_BCmedian,0.79
12,T_BCmean,0.92125
13,T_BCmedian,0.90125
14,T_BF_BCmean,0.90625
15,T_BF_BCmedian,0.89625
16,T_BF_PF_BCmean,0.89875
17,T_BF_PF_BCmedian,0.88
18,T_BF_PFmean,0.90625
19,T_BF_PFmedian,0.82375
20,T_BFmean,0.91375
21,T_BFmedian,0.9075
22,T_PF_BCmean,0.90625
23,T_PF_BCmedian,0.90125
24,T_PFmean,0.91125
25,T_PFmedian,0.90375
26,Tigress,0.91
