,Method_name,Sum_of_avg_across_patients
1,Af,44.58
2,AS,44.54
3,BCohF,45.86
4,BCohW,0
5,BCorrD,45.04
6,BCorrU,44.26
7,BH2D,44.6
8,BH2U,39.6
9,BMITD1,44.64
10,BMITD2,44.63
11,BMITU,39.32
12,BTED,44.61
13,BTEU,44.73
14,COH1,40.59
15,COH2,40.58
16,DC1,44.57
17,dDTF,44.69
18,DTF,44.6
19,ffDTF,44.58
20,Genie,45.08
21,GGC,44.51
22,GPDC,44.57
23,hmvar,44.56
24,MVAR,44.56
25,oPDCF,44.54
26,pCOH1,40.36
27,pCOH2,40.36
28,PCohF,45.84
29,PCohW,0
30,PCorrD,45.32
31,PCorrU,39.32
32,PDC,44.6
33,PH2D,44.57
34,PH2U,39.32
35,PMITD1,44.65
36,PMITD2,44.64
37,PMITU,39.48
38,PTED,44.6
39,PTEU,44.74
40,Smvar,39.8
41,Tigress,47.83
