,Method_name,Median_across_patients
1,Af,0.6375
2,AS,0.665
3,BCohF,0.866666666666667
4,BCohW,0
5,BCorrD,0.765
6,BCorrU,0.84
7,BH2D,0.69
8,BH2U,0.733333333333333
9,BMITD1,0.645
10,BMITD2,0.6275
11,BMITU,0.666666666666667
12,BTED,0.6325
13,BTEU,0.655
14,COH1,0.773333333333333
15,COH2,0.746666666666667
16,DC1,0.665
17,dDTF,0.685
18,DTF,0.65
19,ffDTF,0.64
20,Genie,0.7775
21,GGC,0.5975
22,GPDC,0.6475
23,hmvar,0.64
24,MVAR,0.65
25,oPDCF,0.66
26,pCOH1,0.786666666666667
27,pCOH2,0.786666666666667
28,PCohF,0.893333333333333
29,PCohW,0
30,PCorrD,0.79
31,PCorrU,0.7
32,PDC,0.64
33,PH2D,0.6325
34,PH2U,0.68
35,PMITD1,0.6375
36,PMITD2,0.635
37,PMITU,0.653333333333333
38,PTED,0.6425
39,PTEU,0.655
40,Smvar,0.76
41,Tigress,0.9325
