,Method_name,Sum_of_avg_across_patients
1,Af,31.32
2,AS,32.475
3,BCohF,43.24
4,BCohW,0
5,BCorrD,38.58
6,BCorrU,41.84
7,BH2D,33.84
8,BH2U,36.6
9,BMITD1,31.88
10,BMITD2,31.73
11,BMITU,33.6133333333333
12,BTED,32.245
13,BTEU,32.865
14,COH1,38.84
15,COH2,36.8
16,DC1,31.56
17,dDTF,33.99
18,DTF,31.255
19,ffDTF,31.35
20,Genie,38.72
21,GGC,29.575
22,GPDC,31.36
23,hmvar,30.855
24,MVAR,32.03
25,oPDCF,31.35
26,pCOH1,39.1466666666667
27,pCOH2,39.1466666666667
28,PCohF,44
29,PCohW,0
30,PCorrD,39.385
31,PCorrU,35.24
32,PDC,31.095
33,PH2D,31.295
34,PH2U,35.06
35,PMITD1,31.985
36,PMITD2,31.81
37,PMITU,33.42
38,PTED,32.27
39,PTEU,32.5
40,Smvar,37.7866666666667
41,Tigress,46.165
