,Method_name,Sum_of_avg_across_patients
1,Af,40.6
2,AS,40.56
3,BCohF,44.96
4,BCohW,0
5,BCorrD,41.84
6,BCorrU,44
7,BH2D,40.56
8,BH2U,39.12
9,BMITD1,40.76
10,BMITD2,40.76
11,BMITU,35.76
12,BTED,40.92
13,BTEU,41.08
14,COH1,40.64
15,COH2,38
16,DC1,40.6
17,dDTF,40.92
18,DTF,40.68
19,ffDTF,40.68
20,Genie,41.24
21,GGC,40.44
22,GPDC,40.52
23,hmvar,40.52
24,MVAR,40.56
25,oPDCF,40.6
26,pCOH1,40.32
27,pCOH2,40.32
28,PCohF,46
29,PCohW,0
30,PCorrD,42.12
31,PCorrU,37.12
32,PDC,40.64
33,PH2D,40.48
34,PH2U,37.84
35,PMITD1,40.88
36,PMITD2,40.76
37,PMITU,36.88
38,PTED,40.64
39,PTEU,40.88
40,Smvar,39.44
41,Tigress,47.2
