,Method_name,Median_across_patients
1,Af,0.61
2,AS,0.61
3,BCohF,0.92
4,BCohW,0
5,BCorrD,0.82
6,BCorrU,0.893333333333333
7,BH2D,0.61
8,BH2U,0.766666666666666
9,BMITD1,0.6525
10,BMITD2,0.6475
11,BMITU,0.68
12,BTED,0.625
13,BTEU,0.62
14,COH1,0.826666666666667
15,COH2,0.733333333333333
16,DC1,0.575
17,dDTF,0.655
18,DTF,0.5825
19,ffDTF,0.575
20,Genie,0.8125
21,GGC,0.5625
22,GPDC,0.635
23,hmvar,0.6075
24,MVAR,0.6
25,oPDCF,0.6125
26,pCOH1,0.8
27,pCOH2,0.8
28,PCohF,0.946666666666667
29,PCohW,0
30,PCorrD,0.84
31,PCorrU,0.686666666666667
32,PDC,0.615
33,PH2D,0.62
34,PH2U,0.733333333333333
35,PMITD1,0.665
36,PMITD2,0.6675
37,PMITU,0.686666666666667
38,PTED,0.63
39,PTEU,0.6175
40,Smvar,0.766666666666666
41,Tigress,0.97
