,Method_name,Median_across_patients
1,BCohF,0.928
2,BCorrU,0.916
3,BF_BCmean,0.84
4,BF_BCmedian,0.8145
5,BF_PF_BCmean,0.84
6,BF_PF_BCmedian,0.8145
7,BF_PFmean,0.8415
8,BF_PFmedian,0.8145
9,PCohF,0.936
10,PF_BCmean,0.84225
11,PF_BCmedian,0.81
12,T_BCmean,0.8785
13,T_BCmedian,0.8875
14,T_BF_BCmean,0.8875
15,T_BF_BCmedian,0.88875
16,T_BF_PF_BCmean,0.88975
17,T_BF_PF_BCmedian,0.86275
18,T_BF_PFmean,0.8865
19,T_BF_PFmedian,0.82125
20,T_BFmean,0.8755
21,T_BFmedian,0.88675
22,T_PF_BCmean,0.889
23,T_PF_BCmedian,0.893
24,T_PFmean,0.8785
25,T_PFmedian,0.88275
26,Tigress,0.85525
