,Method_name,Sum_of_avg_across_patients
1,BCohF,46.96
2,BCorrU,45.6666666666667
3,BF_BCmean,41.625
4,BF_BCmedian,37.595
5,BF_PF_BCmean,41.83
6,BF_PF_BCmedian,37.455
7,BF_PFmean,42.01
8,BF_PFmedian,37.545
9,PCohF,47.52
10,PF_BCmean,41.835
11,PF_BCmedian,37.75
12,T_BCmean,42.79
13,T_BCmedian,42.765
14,T_BF_BCmean,43.6
15,T_BF_BCmedian,42.925
16,T_BF_PF_BCmean,44.17
17,T_BF_PF_BCmedian,42.32
18,T_BF_PFmean,43.705
19,T_BF_PFmedian,38.445
20,T_BFmean,42.6
21,T_BFmedian,42.365
22,T_PF_BCmean,43.645
23,T_PF_BCmedian,42.895
24,T_PFmean,42.67
25,T_PFmedian,42.265
26,Tigress,39.705
