,Method_name,Sum_of_avg_across_patients
1,BCohF,43.724
2,BCorrU,42.1
3,BF_BCmean,41.1635
4,BF_BCmedian,41.1635
5,BF_PF_BCmean,41.2665
6,BF_PF_BCmedian,41.2625
7,BF_PFmean,41.384
8,BF_PFmedian,41.384
9,PCohF,45.21
10,PF_BCmean,41.159
11,PF_BCmedian,41.159
12,T_BCmean,46.1965
13,T_BCmedian,46.1965
14,T_BF_BCmean,45.7915
15,T_BF_BCmedian,45.6
16,T_BF_PF_BCmean,45.407
17,T_BF_PF_BCmedian,44.581
18,T_BF_PFmean,45.788
19,T_BF_PFmedian,42.302
20,T_BFmean,46.2285
21,T_BFmedian,46.2285
22,T_PF_BCmean,45.7785
23,T_PF_BCmedian,45.7875
24,T_PFmean,46.244
25,T_PFmedian,46.244
26,Tigress,46.3855
