,Method_name,Sum_of_avg_across_patients
1,BCohF,43.44
2,BCorrU,42
3,BF_BCmean,41.96
4,BF_BCmedian,41.96
5,BF_PF_BCmean,41.88
6,BF_PF_BCmedian,41.96
7,BF_PFmean,41.84
8,BF_PFmedian,41.84
9,PCohF,45.04
10,PF_BCmean,41.84
11,PF_BCmedian,41.84
12,T_BCmean,46.24
13,T_BCmedian,46.24
14,T_BF_BCmean,45.88
15,T_BF_BCmedian,45.6
16,T_BF_PF_BCmean,45.56
17,T_BF_PF_BCmedian,44.56
18,T_BF_PFmean,45.8
19,T_BF_PFmedian,42.56
20,T_BFmean,46.2
21,T_BFmedian,46.2
22,T_PF_BCmean,45.84
23,T_PF_BCmedian,45.72
24,T_PFmean,46.16
25,T_PFmedian,46.16
26,Tigress,46.24
