,Method_name,Sum_of_avg_across_patients
1,BCohF,43.9133333333333
2,BCorrU,42.1666666666667
3,BF_BCmean,40.6325
4,BF_BCmedian,40.6325
5,BF_PF_BCmean,40.8575
6,BF_PF_BCmedian,40.7975
7,BF_PFmean,41.08
8,BF_PFmedian,41.08
9,PCohF,45.3233333333333
10,PF_BCmean,40.705
11,PF_BCmedian,40.705
12,T_BCmean,46.1675
13,T_BCmedian,46.1675
14,T_BF_BCmean,45.7325
15,T_BF_BCmedian,45.6
16,T_BF_PF_BCmean,45.305
17,T_BF_PF_BCmedian,44.595
18,T_BF_PFmean,45.78
19,T_BF_PFmedian,42.13
20,T_BFmean,46.2475
21,T_BFmedian,46.2475
22,T_PF_BCmean,45.7375
23,T_PF_BCmedian,45.8325
24,T_PFmean,46.3
25,T_PFmedian,46.3
26,Tigress,46.4825
