,Method_name,Median_across_patients
1,Af,0.92
2,AS,0.92
3,BCohF,0.928888888888889
4,BCohW,0
5,BCorrD,0.924444444444444
6,BCorrU,0.911111111111111
7,BH2D,0.92
8,BH2U,0.84
9,BMITD1,0.92
10,BMITD2,0.92
11,BMITU,0.84
12,BTED,0.92
13,BTEU,0.92
14,COH1,0.846666666666666
15,COH2,0.848888888888889
16,DC1,0.92
17,dDTF,0.92
18,DTF,0.92
19,ffDTF,0.92
20,Genie,0.924444444444444
21,GGC,0.92
22,GPDC,0.92
23,hmvar,0.92
24,MVAR,0.92
25,oPDCF,0.92
26,pCOH1,0.848888888888889
27,pCOH2,0.848888888888889
28,PCohF,0.928888888888889
29,PCohW,0
30,PCorrD,0.924444444444444
31,PCorrU,0.84
32,PDC,0.92
33,PH2D,0.92
34,PH2U,0.84
35,PMITD1,0.92
36,PMITD2,0.92
37,PMITU,0.84
38,PTED,0.92
39,PTEU,0.92
40,Smvar,0.84
41,Tigress,0.957777777777778
