,Method_name,Median_across_patients
1,BCohF,1
2,BCorrU,1
3,BF_BCmean,0.86
4,BF_BCmedian,0.805
5,BF_PF_BCmean,0.86
6,BF_PF_BCmedian,0.8
7,BF_PFmean,0.86
8,BF_PFmedian,0.8025
9,PCohF,1
10,PF_BCmean,0.86
11,PF_BCmedian,0.8025
12,T_BCmean,0.97
13,T_BCmedian,0.97
14,T_BF_BCmean,0.97
15,T_BF_BCmedian,0.97
16,T_BF_PF_BCmean,0.975
17,T_BF_PF_BCmedian,0.9325
18,T_BF_PFmean,0.97
19,T_BF_PFmedian,0.825
20,T_BFmean,0.97
21,T_BFmedian,0.97
22,T_PF_BCmean,0.97
23,T_PF_BCmedian,0.97125
24,T_PFmean,0.97
25,T_PFmedian,0.97
26,Tigress,0.965
