,Method_name,Median_across_patients
1,BCohF,1
2,BCorrU,1
3,BF_BCmean,0.852
4,BF_BCmedian,0.819
5,BF_PF_BCmean,0.852
6,BF_PF_BCmedian,0.816
7,BF_PFmean,0.852
8,BF_PFmedian,0.8175
9,PCohF,1
10,PF_BCmean,0.852
11,PF_BCmedian,0.816
12,T_BCmean,0.966
13,T_BCmedian,0.966
14,T_BF_BCmean,0.966
15,T_BF_BCmedian,0.966
16,T_BF_PF_BCmean,0.969
17,T_BF_PF_BCmedian,0.9275
18,T_BF_PFmean,0.966
19,T_BF_PFmedian,0.834
20,T_BFmean,0.966
21,T_BFmedian,0.966
22,T_PF_BCmean,0.966
23,T_PF_BCmedian,0.96675
24,T_PFmean,0.966
25,T_PFmedian,0.966
26,Tigress,0.963
