,Method_name,Sum_of_avg_across_patients
1,Af,30.88
2,AS,30.68
3,BCohF,46.1333333333333
4,BCohW,0
5,BCorrD,40.38
6,BCorrU,44.3866666666667
7,BH2D,32.01
8,BH2U,37.2666666666667
9,BMITD1,31.545
10,BMITD2,31.475
11,BMITU,33.6266666666667
12,BTED,31.435
13,BTEU,32.86
14,COH1,40.7466666666667
15,COH2,37.2666666666667
16,DC1,31.245
17,dDTF,34.285
18,DTF,30.485
19,ffDTF,30.41
20,Genie,40.46
21,GGC,29.14
22,GPDC,31.545
23,hmvar,29.885
24,MVAR,30.43
25,oPDCF,31.07
26,pCOH1,38.4333333333333
27,pCOH2,38.42
28,PCohF,46.4
29,PCohW,0
30,PCorrD,41.01
31,PCorrU,36.6466666666667
32,PDC,30.965
33,PH2D,31.665
34,PH2U,35.7533333333333
35,PMITD1,31.56
36,PMITD2,31.49
37,PMITU,33.7666666666667
38,PTED,31.84
39,PTEU,32.995
40,Smvar,38.3333333333333
41,Tigress,47.995
