,Method_name,Sum_of_avg_across_patients
1,Af,40.76
2,AS,40.52
3,BCohF,45.2
4,BCohW,0
5,BCorrD,42.12
6,BCorrU,43.6
7,BH2D,40.64
8,BH2U,38.32
9,BMITD1,40.72
10,BMITD2,40.68
11,BMITU,35.52
12,BTED,40.84
13,BTEU,41.16
14,COH1,40.56
15,COH2,38
16,DC1,40.48
17,dDTF,41.2
18,DTF,40.64
19,ffDTF,40.68
20,Genie,41.76
21,GGC,40.44
22,GPDC,40.68
23,hmvar,40.52
24,MVAR,40.44
25,oPDCF,40.8
26,pCOH1,39.2
27,pCOH2,39.2
28,PCohF,45.84
29,PCohW,0
30,PCorrD,42.12
31,PCorrU,37.76
32,PDC,40.72
33,PH2D,40.72
34,PH2U,36.88
35,PMITD1,40.84
36,PMITD2,40.84
37,PMITU,36.16
38,PTED,40.8
39,PTEU,41
40,Smvar,38.72
41,Tigress,47.32
