,Method_name,Sum_of_avg_across_patients
1,Af,37.72
2,AS,37.76
3,BCohF,45.84
4,BCohW,0
5,BCorrD,38.04
6,BCorrU,44.72
7,BH2D,37.16
8,BH2U,41.76
9,BMITD1,36.88
10,BMITD2,37.12
11,BMITU,39.68
12,BTED,37.2
13,BTEU,37.48
14,COH1,42.24
15,COH2,40.8
16,DC1,37.4
17,dDTF,38.16
18,DTF,37.6
19,ffDTF,37.6
20,Genie,37.6
21,GGC,36.96
22,GPDC,37.56
23,hmvar,37.56
24,MVAR,37.96
25,oPDCF,37.4
26,pCOH1,40.4
27,pCOH2,40.4
28,PCohF,46
29,PCohW,0
30,PCorrD,38.6
31,PCorrU,40.64
32,PDC,37.48
33,PH2D,36.88
34,PH2U,40.64
35,PMITD1,37.56
36,PMITD2,37.76
37,PMITU,40.16
38,PTED,37.44
39,PTEU,37.24
40,Smvar,41.6
41,Tigress,41.16
