,Method_name,Sum_of_avg_across_patients
1,BCohF,43.12
2,BCorrU,41.36
3,BF_BCmean,39.72
4,BF_BCmedian,39.36
5,BF_PF_BCmean,40.16
6,BF_PF_BCmedian,38.92
7,BF_PFmean,40.04
8,BF_PFmedian,39
9,PCohF,43.04
10,PF_BCmean,39.96
11,PF_BCmedian,39.2
12,T_BCmean,41.68
13,T_BCmedian,41.44
14,T_BF_BCmean,41.72
15,T_BF_BCmedian,40.96
16,T_BF_PF_BCmean,41.64
17,T_BF_PF_BCmedian,40.6
18,T_BF_PFmean,41.68
19,T_BF_PFmedian,39.28
20,T_BFmean,41.56
21,T_BFmedian,41.44
22,T_PF_BCmean,41.68
23,T_PF_BCmedian,41.04
24,T_PFmean,41.64
25,T_PFmedian,41.36
26,Tigress,41.48
