,Method_name,Sum_of_avg_across_patients
1,Af,40.48
2,AS,40.64
3,BCohF,45.6
4,BCohW,0
5,BCorrD,41.76
6,BCorrU,43.04
7,BH2D,41.12
8,BH2U,41.36
9,BMITD1,41.08
10,BMITD2,41.2
11,BMITU,40.24
12,BTED,40.48
13,BTEU,41.76
14,COH1,42.96
15,COH2,42.56
16,DC1,40.8
17,dDTF,42.12
18,DTF,40.44
19,ffDTF,40.6
20,Genie,41.84
21,GGC,40
22,GPDC,40.92
23,hmvar,40.44
24,MVAR,40.64
25,oPDCF,40.44
26,pCOH1,46
27,pCOH2,46
28,PCohF,46.08
29,PCohW,0
30,PCorrD,41.24
31,PCorrU,36.32
32,PDC,40.64
33,PH2D,40.88
34,PH2U,34.08
35,PMITD1,41.4
36,PMITD2,41.44
37,PMITU,45.6
38,PTED,41
39,PTEU,41.28
40,Smvar,37.04
41,Tigress,47.64
