,Method_name,Median_across_patients
1,Af,0.7075
2,AS,0.71625
3,BCohF,0.93
4,BCohW,0
5,BCorrD,0.80625
6,BCorrU,0.863333333333333
7,BH2D,0.765
8,BH2U,0.843333333333333
9,BMITD1,0.7725
10,BMITD2,0.77
11,BMITU,0.816666666666667
12,BTED,0.71625
13,BTEU,0.795
14,COH1,0.866666666666666
15,COH2,0.866666666666666
16,DC1,0.7325
17,dDTF,0.82625
18,DTF,0.7175
19,ffDTF,0.70375
20,Genie,0.82625
21,GGC,0.60375
22,GPDC,0.75125
23,hmvar,0.6875
24,MVAR,0.7075
25,oPDCF,0.72375
26,pCOH1,0.936666666666667
27,pCOH2,0.936666666666667
28,PCohF,0.946666666666667
29,PCohW,0
30,PCorrD,0.7525
31,PCorrU,0.706666666666667
32,PDC,0.73
33,PH2D,0.73375
34,PH2U,0.656666666666667
35,PMITD1,0.8125
36,PMITD2,0.8175
37,PMITU,0.933333333333334
38,PTED,0.74875
39,PTEU,0.76
40,Smvar,0.733333333333334
41,Tigress,0.97125
