,Method_name,Sum_of_avg_across_patients
1,BCohF,45.6
2,BCorrU,43.04
3,BF_BCmean,42
4,BF_BCmedian,41.56
5,BF_PF_BCmean,41.96
6,BF_PF_BCmedian,41.36
7,BF_PFmean,41.88
8,BF_PFmedian,41.48
9,PCohF,46.08
10,PF_BCmean,41.96
11,PF_BCmedian,41.6
12,T_BCmean,48.4
13,T_BCmedian,47.48
14,T_BF_BCmean,48.48
15,T_BF_BCmedian,45.28
16,T_BF_PF_BCmean,48.44
17,T_BF_PF_BCmedian,44.16
18,T_BF_PFmean,48.56
19,T_BF_PFmedian,42.84
20,T_BFmean,48.56
21,T_BFmedian,47.64
22,T_PF_BCmean,48.48
23,T_PF_BCmedian,46.36
24,T_PFmean,48.52
25,T_PFmedian,47.6
26,Tigress,47.64
