,Method_name,Sum_of_avg_across_patients
1,Af,40.76
2,AS,40.52
3,BCohF,45.52
4,BCohW,0
5,BCorrD,42.04
6,BCorrU,44
7,BH2D,40.8
8,BH2U,38.64
9,BMITD1,40.88
10,BMITD2,40.92
11,BMITU,34.72
12,BTED,40.76
13,BTEU,41.2
14,COH1,41.28
15,COH2,38.72
16,DC1,40.48
17,dDTF,41.28
18,DTF,40.68
19,ffDTF,40.6
20,Genie,41.64
21,GGC,40.4
22,GPDC,40.56
23,hmvar,40.48
24,MVAR,40.4
25,oPDCF,40.72
26,pCOH1,39.68
27,pCOH2,39.68
28,PCohF,46.24
29,PCohW,0
30,PCorrD,42.36
31,PCorrU,38.56
32,PDC,40.76
33,PH2D,40.8
34,PH2U,37.36
35,PMITD1,41.04
36,PMITD2,41
37,PMITU,36
38,PTED,40.8
39,PTEU,41.08
40,Smvar,39.16
41,Tigress,47.6
