,Method_name,Sum_of_avg_across_patients
1,Af,36.7675
2,AS,36.504
3,BCohF,38.82
4,BCohW,0
5,BCorrD,39.4965
6,BCorrU,37.888
7,BH2D,38.3705
8,BH2U,36.984
9,BMITD1,39.612
10,BMITD2,39.578
11,BMITU,38.724
12,BTED,38.0945
13,BTEU,38.527
14,COH1,39.678
15,COH2,39.672
16,DC1,38.064
17,dDTF,40.1675
18,DTF,37.0775
19,ffDTF,37.1635
20,Genie,39.203
21,GGC,35.654
22,GPDC,37.8055
23,hmvar,36.3965
24,MVAR,36.5635
25,oPDCF,36.8855
26,pCOH1,44.48
27,pCOH2,44.48
28,PCohF,42.596
29,PCohW,0
30,PCorrD,39.608
31,PCorrU,39.88
32,PDC,36.804
33,PH2D,38.1385
34,PH2U,36.78
35,PMITD1,39.675
36,PMITD2,39.684
37,PMITU,40.32
38,PTED,37.984
39,PTEU,38.151
40,Smvar,35.214
41,Tigress,42.533
