,Method_name,Sum_of_avg_across_patients
1,Af,40.24
2,AS,40.32
3,BCohF,38.88
4,BCohW,0
5,BCorrD,41.52
6,BCorrU,37.92
7,BH2D,40.88
8,BH2U,37.2
9,BMITD1,41.52
10,BMITD2,41.48
11,BMITU,38.88
12,BTED,40.88
13,BTEU,41.2
14,COH1,38.92
15,COH2,39.12
16,DC1,40.8
17,dDTF,41.72
18,DTF,40.52
19,ffDTF,40.6
20,Genie,41.12
21,GGC,40.04
22,GPDC,40.84
23,hmvar,40.04
24,MVAR,40.24
25,oPDCF,40.28
26,pCOH1,44.24
27,pCOH2,44.24
28,PCohF,42.64
29,PCohW,0
30,PCorrD,41.48
31,PCorrU,40.08
32,PDC,40.2
33,PH2D,40.72
34,PH2U,37.04
35,PMITD1,41.16
36,PMITD2,41.16
37,PMITU,40.56
38,PTED,40.84
39,PTEU,40.92
40,Smvar,36
41,Tigress,43.52
