,Method_name,Sum_of_avg_across_patients
1,Af,44.57
2,AS,44.58
3,BCohF,45.12
4,BCohW,0
5,BCorrD,45.01
6,BCorrU,43.76
7,BH2D,44.55
8,BH2U,39.68
9,BMITD1,44.55
10,BMITD2,44.54
11,BMITU,39.28
12,BTED,44.58
13,BTEU,44.64
14,COH1,40.46
15,COH2,40.35
16,DC1,44.55
17,dDTF,44.59
18,DTF,44.56
19,ffDTF,44.54
20,Genie,45.14
21,GGC,44.55
22,GPDC,44.59
23,hmvar,44.54
24,MVAR,44.59
25,oPDCF,44.59
26,pCOH1,40.2
27,pCOH2,40.19
28,PCohF,45.44
29,PCohW,0
30,PCorrD,45.21
31,PCorrU,39.44
32,PDC,44.62
33,PH2D,44.56
34,PH2U,39.34
35,PMITD1,44.53
36,PMITD2,44.53
37,PMITU,39.28
38,PTED,44.6
39,PTEU,44.66
40,Smvar,39.74
41,Tigress,47.59
