,Method_name,Sum_of_avg_across_patients
1,Af,39.2266813074566
2,AS,39.3246925434116
3,BCohF,45.1598741258741
4,BCohW,0
5,BCorrD,44.021811031665
6,BCorrU,43.490041958042
7,BH2D,39.8676864147089
8,BH2U,37.7623636363636
9,BMITD1,39.5836210418795
10,BMITD2,39.5678876404494
11,BMITU,35.8127832167832
12,BTED,39.6485944841675
13,BTEU,40.1821164453524
14,COH1,38.9081888111888
15,COH2,38.6652797202797
16,DC1,39.8434780388151
17,dDTF,40.6911920326864
18,DTF,39.6255546475996
19,ffDTF,39.5960796731359
20,Genie,44.6558140960163
21,GGC,38.7493513789581
22,GPDC,39.3667793667007
23,hmvar,39.5317282941777
24,MVAR,39.3330715015322
25,oPDCF,39.2768406537283
26,pCOH1,38.2004895104895
27,pCOH2,38.1933146853147
28,PCohF,45.3677902097902
29,PCohW,0
30,PCorrD,44.1417395301328
31,PCorrU,35.985972027972
32,PDC,39.3188314606742
33,PH2D,39.5913871297242
34,PH2U,36.2331048951049
35,PMITD1,39.7311123595506
36,PMITD2,39.670897854954
37,PMITU,35.896
38,PTED,39.75835546476
39,PTEU,39.8869233912155
40,Smvar,37.0423006993007
41,Tigress,47.7808753830439
