,Method_name,Sum_of_avg_across_patients
1,Af,26.758937691522
2,AS,27.0623084780388
3,BCohF,45.2529137529138
4,BCohW,0
5,BCorrD,41.7160367722165
6,BCorrU,42.8601398601399
7,BH2D,28.9422880490296
8,BH2U,33.2878787878788
9,BMITD1,27.9954034729316
10,BMITD2,27.9662921348315
11,BMITU,27.7226107226107
12,BTED,28.1419816138917
13,BTEU,29.7803881511747
14,COH1,35.287296037296
15,COH2,34.7342657342657
16,DC1,28.8615934627171
17,dDTF,31.593973442288
18,DTF,28.111848825332
19,ffDTF,28.0602655771195
20,Genie,43.5260469867211
21,GGC,25.2145045965271
22,GPDC,27.1792645556691
23,hmvar,27.8457609805924
24,MVAR,27.0669050051072
25,oPDCF,26.879468845761
26,pCOH1,33.534965034965
27,pCOH2,33.5343822843823
28,PCohF,45.1993006993007
29,PCohW,0
30,PCorrD,41.6491317671093
31,PCorrU,27.9265734265734
32,PDC,26.9494382022472
33,PH2D,27.9979570990807
34,PH2U,28.983682983683
35,PMITD1,28.5337078651685
36,PMITD2,28.3329928498468
37,PMITU,28
38,PTED,28.4611848825332
39,PTEU,28.7497446373851
40,Smvar,30.747668997669
41,Tigress,48.2262512768131
