,Method_name,Median_across_patients
1,BCohF,0.966666666666667
2,BCorrU,0.893333333333333
3,BF_BCmean,0.8375
4,BF_BCmedian,0.71
5,BF_PF_BCmean,0.8575
6,BF_PF_BCmedian,0.68
7,BF_PFmean,0.86
8,BF_PFmedian,0.7
9,PCohF,0.973333333333333
10,PF_BCmean,0.85
11,PF_BCmedian,0.715
12,T_BCmean,0.99
13,T_BCmedian,0.9725
14,T_BF_BCmean,0.99
15,T_BF_BCmedian,0.9175
16,T_BF_PF_BCmean,0.9925
17,T_BF_PF_BCmedian,0.895
18,T_BF_PFmean,0.9925
19,T_BF_PFmedian,0.83
20,T_BFmean,0.99
21,T_BFmedian,0.9725
22,T_PF_BCmean,0.99
23,T_PF_BCmedian,0.955
24,T_PFmean,0.9925
25,T_PFmedian,0.97
26,Tigress,0.9825
