,Method_name,Sum_of_avg_across_patients
1,BCohF,45.92
2,BCorrU,43.76
3,BF_BCmean,42
4,BF_BCmedian,41.44
5,BF_PF_BCmean,41.88
6,BF_PF_BCmedian,41.4
7,BF_PFmean,41.92
8,BF_PFmedian,41.36
9,PCohF,47.2
10,PF_BCmean,42
11,PF_BCmedian,41.48
12,T_BCmean,48.52
13,T_BCmedian,47.68
14,T_BF_BCmean,48.68
15,T_BF_BCmedian,45.2
16,T_BF_PF_BCmean,48.64
17,T_BF_PF_BCmedian,44.56
18,T_BF_PFmean,48.8
19,T_BF_PFmedian,43.44
20,T_BFmean,48.68
21,T_BFmedian,47.88
22,T_PF_BCmean,48.64
23,T_PF_BCmedian,46.04
24,T_PFmean,48.6
25,T_PFmedian,47.6
26,Tigress,47.88
