,Method_name,Sum_of_avg_across_patients
1,BCohF,46.32
2,BCorrU,43.996
3,BF_BCmean,41.8665
4,BF_BCmedian,39.4885
5,BF_PF_BCmean,42.0225
6,BF_PF_BCmedian,39.2775
7,BF_PFmean,42.067
8,BF_PFmedian,39.371
9,PCohF,47.504
10,PF_BCmean,42.0075
11,PF_BCmedian,39.464
12,T_BCmean,48.6835
13,T_BCmedian,47.839
14,T_BF_BCmean,48.8285
15,T_BF_BCmedian,45.272
16,T_BF_PF_BCmean,48.8065
17,T_BF_PF_BCmedian,44.551
18,T_BF_PFmean,48.9215
19,T_BF_PFmedian,42.867
20,T_BFmean,48.818
21,T_BFmedian,48.063
22,T_PF_BCmean,48.799
23,T_PF_BCmedian,46.3055
24,T_PFmean,48.7575
25,T_PFmedian,47.8655
26,Tigress,48.1575
