,Method_name,Sum_of_avg_across_patients
1,Af,40.52
2,AS,40.4
3,BCohF,48.72
4,BCohW,0
5,BCorrD,41.92
6,BCorrU,48.16
7,BH2D,40.76
8,BH2U,40.4
9,BMITD1,40.64
10,BMITD2,40.72
11,BMITU,34.72
12,BTED,40.68
13,BTEU,41.32
14,COH1,46.56
15,COH2,43.44
16,DC1,40.44
17,dDTF,41.44
18,DTF,40.52
19,ffDTF,40.52
20,Genie,41.64
21,GGC,40.36
22,GPDC,40.72
23,hmvar,40.44
24,MVAR,40.48
25,oPDCF,40.6
26,pCOH1,45.68
27,pCOH2,45.68
28,PCohF,49.44
29,PCohW,0
30,PCorrD,42.04
31,PCorrU,38.4
32,PDC,40.6
33,PH2D,40.88
34,PH2U,37.28
35,PMITD1,40.92
36,PMITD2,40.84
37,PMITU,36.16
38,PTED,40.8
39,PTEU,41.24
40,Smvar,42.64
41,Tigress,48.12
