,Method_name,Sum_of_avg_across_patients
1,Af,37.493
2,AS,37.493
3,BCohF,48.896
4,BCohW,0
5,BCorrD,42.241
6,BCorrU,48.392
7,BH2D,38.1635
8,BH2U,40.284
9,BMITD1,38.0255
10,BMITD2,38.08
11,BMITU,34.624
12,BTED,38.1435
13,BTEU,39.223
14,COH1,46.968
15,COH2,43.752
16,DC1,37.659
17,dDTF,40.3975
18,DTF,37.5275
19,ffDTF,37.5275
20,Genie,41.967
21,GGC,36.763
22,GPDC,37.657
23,hmvar,37.4025
24,MVAR,37.4845
25,oPDCF,37.4665
26,pCOH1,46.04
27,pCOH2,46.04
28,PCohF,49.524
29,PCohW,0
30,PCorrD,42.4585
31,PCorrU,38.148
32,PDC,37.3705
33,PH2D,38.4725
34,PH2U,36.512
35,PMITD1,38.3775
36,PMITD2,38.2105
37,PMITU,35.888
38,PTED,38.427
39,PTEU,39.359
40,Smvar,42.932
41,Tigress,48.306
