,Method_name,Sum_of_avg_across_patients
1,BCohF,49.7133333333333
2,BCorrU,49.4
3,BF_BCmean,42.95
4,BF_BCmedian,38.8525
5,BF_PF_BCmean,42.945
6,BF_PF_BCmedian,39.1025
7,BF_PFmean,42.9425
8,BF_PFmedian,39.17
9,PCohF,50
10,PF_BCmean,42.935
11,PF_BCmedian,38.895
12,T_BCmean,49.15
13,T_BCmedian,48.83
14,T_BF_BCmean,49.1925
15,T_BF_BCmedian,47.3525
16,T_BF_PF_BCmean,49.2775
17,T_BF_PF_BCmedian,45.5825
18,T_BF_PFmean,49.2125
19,T_BF_PFmedian,40.535
20,T_BFmean,49.1425
21,T_BFmedian,48.8275
22,T_PF_BCmean,49.19
23,T_PF_BCmedian,47.6025
24,T_PFmean,49.14
25,T_PFmedian,48.8325
26,Tigress,48.62
