,Method_name,Median_across_patients
1,BCohF,1
2,BCorrU,1
3,BF_BCmean,0.86
4,BF_BCmedian,0.78
5,BF_PF_BCmean,0.86
6,BF_PF_BCmedian,0.79125
7,BF_PFmean,0.86
8,BF_PFmedian,0.79
9,PCohF,1
10,PF_BCmean,0.86
11,PF_BCmedian,0.78
12,T_BCmean,0.975
13,T_BCmedian,0.9725
14,T_BF_BCmean,0.9775
15,T_BF_BCmedian,0.94875
16,T_BF_PF_BCmean,1
17,T_BF_PF_BCmedian,0.91
18,T_BF_PFmean,0.98875
19,T_BF_PFmedian,0.815
20,T_BFmean,0.975
21,T_BFmedian,0.97
22,T_PF_BCmean,0.97625
23,T_PF_BCmedian,0.96375
24,T_PFmean,0.975
25,T_PFmedian,0.9725
26,Tigress,0.97
