,Method_name,Sum_of_avg_across_patients
1,BCohF,49.6
2,BCorrU,49.12
3,BF_BCmean,42
4,BF_BCmedian,41.72
5,BF_PF_BCmean,41.96
6,BF_PF_BCmedian,41.76
7,BF_PFmean,41.92
8,BF_PFmedian,41.68
9,PCohF,50
10,PF_BCmean,41.92
11,PF_BCmedian,41.68
12,T_BCmean,48.96
13,T_BCmedian,48.52
14,T_BF_BCmean,48.96
15,T_BF_BCmedian,46.88
16,T_BF_PF_BCmean,49.04
17,T_BF_PF_BCmedian,45.36
18,T_BF_PFmean,49
19,T_BF_PFmedian,42.36
20,T_BFmean,48.96
21,T_BFmedian,48.52
22,T_PF_BCmean,48.96
23,T_PF_BCmedian,47.08
24,T_PFmean,48.96
25,T_PFmedian,48.52
26,Tigress,48.28
