,Method_name,Median_across_patients
1,BCohF,1
2,BCorrU,1
3,BF_BCmean,0.88
4,BF_BCmedian,0.725
5,BF_PF_BCmean,0.88
6,BF_PF_BCmedian,0.7475
7,BF_PFmean,0.88
8,BF_PFmedian,0.74
9,PCohF,1
10,PF_BCmean,0.88
11,PF_BCmedian,0.725
12,T_BCmean,0.99
13,T_BCmedian,0.985
14,T_BF_BCmean,0.995
15,T_BF_BCmedian,0.96
16,T_BF_PF_BCmean,1
17,T_BF_PF_BCmedian,0.92
18,T_BF_PFmean,0.9975
19,T_BF_PFmedian,0.7875
20,T_BFmean,0.99
21,T_BFmedian,0.98
22,T_PF_BCmean,0.9925
23,T_PF_BCmedian,0.97
24,T_PFmean,0.99
25,T_PFmedian,0.985
26,Tigress,0.98
