,Method_name,Median_across_patients
1,BCohF,0.92
2,BCorrU,0.908
3,BF_BCmean,0.834
4,BF_BCmedian,0.828
5,BF_PF_BCmean,0.834
6,BF_PF_BCmedian,0.828
7,BF_PFmean,0.8355
8,BF_PFmedian,0.828
9,PCohF,0.928
10,PF_BCmean,0.8325
11,PF_BCmedian,0.828
12,T_BCmean,0.96
13,T_BCmedian,0.96
14,T_BF_BCmean,0.95775
15,T_BF_BCmedian,0.9305
16,T_BF_PF_BCmean,0.93425
17,T_BF_PF_BCmedian,0.91175
18,T_BF_PFmean,0.94875
19,T_BF_PFmedian,0.84675
20,T_BFmean,0.963
21,T_BFmedian,0.9615
22,T_PF_BCmean,0.9585
23,T_PF_BCmedian,0.9335
24,T_PFmean,0.963
25,T_PFmedian,0.9615
26,Tigress,0.963
