,Method_name,Sum_of_avg_across_patients
1,BCohF,45.84
2,BCorrU,44.72
3,BF_BCmean,38
4,BF_BCmedian,37.96
5,BF_PF_BCmean,37.96
6,BF_PF_BCmedian,37.92
7,BF_PFmean,37.8
8,BF_PFmedian,37.8
9,PCohF,46
10,PF_BCmean,37.92
11,PF_BCmedian,37.92
12,T_BCmean,41.24
13,T_BCmedian,41.04
14,T_BF_BCmean,40.8
15,T_BF_BCmedian,41.48
16,T_BF_PF_BCmean,40.72
17,T_BF_PF_BCmedian,40.64
18,T_BF_PFmean,40.92
19,T_BF_PFmedian,39
20,T_BFmean,41.12
21,T_BFmedian,41
22,T_PF_BCmean,40.76
23,T_PF_BCmedian,41.72
24,T_PFmean,41.2
25,T_PFmedian,41.04
26,Tigress,41.16
