,Method_name,Median_across_patients
1,Af,0.8
2,AS,0.8
3,BCohF,0.84
4,BCohW,0
5,BCorrD,0.84
6,BCorrU,0.84
7,BH2D,0.8
8,BH2U,0.76
9,BMITD1,0.8
10,BMITD2,0.8
11,BMITU,0.76
12,BTED,0.8
13,BTEU,0.84
14,COH1,0.76
15,COH2,0.76
16,DC1,0.8
17,dDTF,0.84
18,DTF,0.8
19,ffDTF,0.8
20,Genie,0.84
21,GGC,0.8
22,GPDC,0.8
23,hmvar,0.8
24,MVAR,0.8
25,oPDCF,0.8
26,pCOH1,0.76
27,pCOH2,0.76
28,PCohF,0.92
29,PCohW,0
30,PCorrD,0.84
31,PCorrU,0.76
32,PDC,0.8
33,PH2D,0.8
34,PH2U,0.76
35,PMITD1,0.8
36,PMITD2,0.8
37,PMITU,0.68
38,PTED,0.8
39,PTEU,0.8
40,Smvar,0.76
41,Tigress,0.92
