,Method_name,Sum_of_avg_across_patients
1,BCohF,41.7866666666667
2,BCorrU,39.8
3,BF_BCmean,37.325
4,BF_BCmedian,37.325
5,BF_PF_BCmean,37.675
6,BF_PF_BCmedian,37.735
7,BF_PFmean,38.125
8,BF_PFmedian,38.125
9,PCohF,42.2666666666667
10,PF_BCmean,37.54
11,PF_BCmedian,37.545
12,T_BCmean,44.01
13,T_BCmedian,44.01
14,T_BF_BCmean,43.315
15,T_BF_BCmedian,43.32
16,T_BF_PF_BCmean,42.72
17,T_BF_PF_BCmedian,42.45
18,T_BF_PFmean,43.79
19,T_BF_PFmedian,39.1
20,T_BFmean,44.28
21,T_BFmedian,44.28
22,T_PF_BCmean,43.43
23,T_PF_BCmedian,43.64
24,T_PFmean,44.36
25,T_PFmedian,44.36
26,Tigress,44.665
