,Method_name,Sum_of_avg_across_patients
1,BCohF,41.4933333333333
2,BCorrU,40.06
3,BF_BCmean,39.6025
4,BF_BCmedian,39.6025
5,BF_PF_BCmean,39.7575
6,BF_PF_BCmedian,39.7675
7,BF_PFmean,39.9025
8,BF_PFmedian,39.9025
9,PCohF,42.0933333333333
10,PF_BCmean,39.69
11,PF_BCmedian,39.7125
12,T_BCmean,44.585
13,T_BCmedian,44.585
14,T_BF_BCmean,44.1375
15,T_BF_BCmedian,43.9
16,T_BF_PF_BCmean,43.66
17,T_BF_PF_BCmedian,43.105
18,T_BF_PFmean,44.375
19,T_BF_PFmedian,40.55
20,T_BFmean,44.66
21,T_BFmedian,44.66
22,T_PF_BCmean,44.175
23,T_PF_BCmedian,44.1
24,T_PFmean,44.76
25,T_PFmedian,44.76
26,Tigress,44.8125
