,Method_name,Median_across_patients
1,BCohF,0.928
2,BCorrU,0.888
3,BF_BCmean,0.8355
4,BF_BCmedian,0.813
5,BF_PF_BCmean,0.84
6,BF_PF_BCmedian,0.81
7,BF_PFmean,0.84
8,BF_PFmedian,0.81
9,PCohF,0.928
10,PF_BCmean,0.837
11,PF_BCmedian,0.81
12,T_BCmean,0.963
13,T_BCmedian,0.9615
14,T_BF_BCmean,0.963
15,T_BF_BCmedian,0.926
16,T_BF_PF_BCmean,0.963
17,T_BF_PF_BCmedian,0.892
18,T_BF_PFmean,0.963
19,T_BF_PFmedian,0.828
20,T_BFmean,0.963
21,T_BFmedian,0.963
22,T_PF_BCmean,0.963
23,T_PF_BCmedian,0.929
24,T_PFmean,0.963
25,T_PFmedian,0.963
26,Tigress,0.96225
