,Method_name,Sum_of_avg_across_patients
1,Af,36.84
2,AS,37.08
3,BCohF,43.12
4,BCohW,0
5,BCorrD,38.8
6,BCorrU,41.36
7,BH2D,37.08
8,BH2U,37.84
9,BMITD1,37.16
10,BMITD2,37.24
11,BMITU,36.24
12,BTED,37.44
13,BTEU,38.64
14,COH1,39.2
15,COH2,37.36
16,DC1,37.16
17,dDTF,37.44
18,DTF,37.32
19,ffDTF,37.2
20,Genie,40.8
21,GGC,37.12
22,GPDC,37.44
23,hmvar,37.12
24,MVAR,37.04
25,oPDCF,36.92
26,pCOH1,38.8
27,pCOH2,38.8
28,PCohF,43.04
29,PCohW,0
30,PCorrD,39.64
31,PCorrU,36.88
32,PDC,36.96
33,PH2D,37.28
34,PH2U,36
35,PMITD1,37.76
36,PMITD2,37.72
37,PMITU,37.2
38,PTED,37.8
39,PTEU,38.6
40,Smvar,38.08
41,Tigress,41.48
