,Method_name,Median_across_patients
1,Af,0.76
2,AS,0.76
3,BCohF,0.84
4,BCohW,0
5,BCorrD,0.78
6,BCorrU,0.84
7,BH2D,0.76
8,BH2U,0.76
9,BMITD1,0.76
10,BMITD2,0.76
11,BMITU,0.76
12,BTED,0.76
13,BTEU,0.76
14,COH1,0.76
15,COH2,0.76
16,DC1,0.76
17,dDTF,0.76
18,DTF,0.76
19,ffDTF,0.76
20,Genie,0.8
21,GGC,0.76
22,GPDC,0.76
23,hmvar,0.76
24,MVAR,0.74
25,oPDCF,0.76
26,pCOH1,0.76
27,pCOH2,0.76
28,PCohF,0.84
29,PCohW,0
30,PCorrD,0.8
31,PCorrU,0.76
32,PDC,0.76
33,PH2D,0.76
34,PH2U,0.68
35,PMITD1,0.76
36,PMITD2,0.76
37,PMITU,0.76
38,PTED,0.76
39,PTEU,0.76
40,Smvar,0.76
41,Tigress,0.84
