,Method_name,Sum_of_avg_across_patients
1,BCohF,41.58
2,BCorrU,41.28
3,BF_BCmean,44.83
4,BF_BCmedian,44.8
5,BF_PF_BCmean,44.83
6,BF_PF_BCmedian,44.8
7,BF_PFmean,44.78
8,BF_PFmedian,44.76
9,PCohF,41.54
10,PF_BCmean,44.81
11,PF_BCmedian,44.79
12,T_BCmean,45.07
13,T_BCmedian,45.09
14,T_BF_BCmean,45.06
15,T_BF_BCmedian,45.12
16,T_BF_PF_BCmean,45.05
17,T_BF_PF_BCmedian,45.03
18,T_BF_PFmean,45
19,T_BF_PFmedian,44.86
20,T_BFmean,44.99
21,T_BFmedian,44.97
22,T_PF_BCmean,45.03
23,T_PF_BCmedian,45.16
24,T_PFmean,44.98
25,T_PFmedian,44.98
26,Tigress,44.87
