,Method_name,Sum_of_avg_across_patients
1,BCohF,38.68
2,BCorrU,37.8133333333333
3,BF_BCmean,35.185
4,BF_BCmedian,34.97
5,BF_PF_BCmean,37.42
6,BF_PF_BCmedian,35.175
7,BF_PFmean,37.86
8,BF_PFmedian,36.705
9,PCohF,42.4933333333333
10,PF_BCmean,37.8
11,PF_BCmedian,36.615
12,T_BCmean,39.705
13,T_BCmedian,39.63
14,T_BF_BCmean,39.57
15,T_BF_BCmedian,35.825
16,T_BF_PF_BCmean,39.545
17,T_BF_PF_BCmedian,37.73
18,T_BF_PFmean,39.795
19,T_BF_PFmedian,37.98
20,T_BFmean,40
21,T_BFmedian,39.82
22,T_PF_BCmean,39.68
23,T_PF_BCmedian,37.935
24,T_PFmean,40.02
25,T_PFmedian,39.66
26,Tigress,40.23
