,Method_name,Sum_of_avg_across_patients
1,BCohF,38.88
2,BCorrU,37.92
3,BF_BCmean,41.56
4,BF_BCmedian,41.52
5,BF_PF_BCmean,41.76
6,BF_PF_BCmedian,41.52
7,BF_PFmean,41.8
8,BF_PFmedian,41.8
9,PCohF,42.64
10,PF_BCmean,41.68
11,PF_BCmedian,41.76
12,T_BCmean,43.72
13,T_BCmedian,43.6
14,T_BF_BCmean,43.84
15,T_BF_BCmedian,42.12
16,T_BF_PF_BCmean,43.96
17,T_BF_PF_BCmedian,42.96
18,T_BF_PFmean,43.88
19,T_BF_PFmedian,42.92
20,T_BFmean,43.64
21,T_BFmedian,43.6
22,T_PF_BCmean,44
23,T_PF_BCmedian,43.04
24,T_PFmean,43.88
25,T_PFmedian,43.8
26,Tigress,43.52
