,Method_name,Median_across_patients
1,BCohF,0.76
2,BCorrU,0.76
3,BF_BCmean,0.84
4,BF_BCmedian,0.84
5,BF_PF_BCmean,0.84
6,BF_PF_BCmedian,0.84
7,BF_PFmean,0.84
8,BF_PFmedian,0.84
9,PCohF,0.84
10,PF_BCmean,0.84
11,PF_BCmedian,0.84
12,T_BCmean,0.88
13,T_BCmedian,0.88
14,T_BF_BCmean,0.88
15,T_BF_BCmedian,0.84
16,T_BF_PF_BCmean,0.88
17,T_BF_PF_BCmedian,0.86
18,T_BF_PFmean,0.88
19,T_BF_PFmedian,0.84
20,T_BFmean,0.88
21,T_BFmedian,0.86
22,T_PF_BCmean,0.88
23,T_PF_BCmedian,0.86
24,T_PFmean,0.88
25,T_PFmedian,0.88
26,Tigress,0.84
