,Method_name,Median_across_patients
1,Af,0.89
2,AS,0.89
3,BCohF,0.94
4,BCohW,0
5,BCorrD,0.9
6,BCorrU,0.92
7,BH2D,0.89
8,BH2U,0.8
9,BMITD1,0.89
10,BMITD2,0.89
11,BMITU,0.78
12,BTED,0.89
13,BTEU,0.89
14,COH1,0.82
15,COH2,0.82
16,DC1,0.89
17,dDTF,0.89
18,DTF,0.89
19,ffDTF,0.89
20,Genie,0.9
21,GGC,0.89
22,GPDC,0.89
23,hmvar,0.89
24,MVAR,0.89
25,oPDCF,0.89
26,pCOH1,0.82
27,pCOH2,0.82
28,PCohF,0.96
29,PCohW,0
30,PCorrD,0.91
31,PCorrU,0.78
32,PDC,0.89
33,PH2D,0.89
34,PH2U,0.78
35,PMITD1,0.89
36,PMITD2,0.89
37,PMITU,0.8
38,PTED,0.89
39,PTEU,0.89
40,Smvar,0.8
41,Tigress,0.97
