,Method_name,Sum_of_avg_across_patients
1,Af,44.55
2,AS,44.58
3,BCohF,47.38
4,BCohW,0
5,BCorrD,45.07
6,BCorrU,45.92
7,BH2D,44.6
8,BH2U,40.26
9,BMITD1,44.58
10,BMITD2,44.62
11,BMITU,39.38
12,BTED,44.59
13,BTEU,44.69
14,COH1,41.23
15,COH2,41.02
16,DC1,44.61
17,dDTF,44.76
18,DTF,44.58
19,ffDTF,44.58
20,Genie,45.1
21,GGC,44.52
22,GPDC,44.57
23,hmvar,44.57
24,MVAR,44.61
25,oPDCF,44.54
26,pCOH1,41.36
27,pCOH2,41.36
28,PCohF,47.9
29,PCohW,0
30,PCorrD,45.35
31,PCorrU,39.42
32,PDC,44.55
33,PH2D,44.6
34,PH2U,39.38
35,PMITD1,44.7
36,PMITD2,44.66
37,PMITU,40.08
38,PTED,44.6
39,PTEU,44.61
40,Smvar,39.91
41,Tigress,48.23
