,Method_name,Median_across_patients
1,BCohF,0.88
2,BCorrU,0.866666666666667
3,BF_BCmean,0.7875
4,BF_BCmedian,0.77
5,BF_PF_BCmean,0.84
6,BF_PF_BCmedian,0.7625
7,BF_PFmean,0.865
8,BF_PFmedian,0.82
9,PCohF,1
10,PF_BCmean,0.8675
11,PF_BCmedian,0.83
12,T_BCmean,0.915
13,T_BCmedian,0.9
14,T_BF_BCmean,0.905
15,T_BF_BCmedian,0.7975
16,T_BF_PF_BCmean,0.925
17,T_BF_PF_BCmedian,0.885
18,T_BF_PFmean,0.9275
19,T_BF_PFmedian,0.9
20,T_BFmean,0.92
21,T_BFmedian,0.91
22,T_PF_BCmean,0.9225
23,T_PF_BCmedian,0.895
24,T_PFmean,0.92
25,T_PFmedian,0.93
26,Tigress,0.915
