,Method_name,Sum_of_avg_across_patients
1,Af,34.33
2,AS,33.3225
3,BCohF,44.2266666666667
4,BCohW,0
5,BCorrD,41.0675
6,BCorrU,43.88
7,BH2D,37.6075
8,BH2U,42.58
9,BMITD1,37.8325
10,BMITD2,38.045
11,BMITU,37.6933333333333
12,BTED,36.1775
13,BTEU,37.1125
14,COH1,43.4133333333333
15,COH2,40.5533333333333
16,DC1,36.7225
17,dDTF,38.795
18,DTF,34.565
19,ffDTF,34.5675
20,Genie,40.1625
21,GGC,30.8875
22,GPDC,36.64
23,hmvar,33.8275
24,MVAR,33.6225
25,oPDCF,33.93
26,pCOH1,45.7066666666667
27,pCOH2,45.7066666666667
28,PCohF,49.0133333333333
29,PCohW,0
30,PCorrD,42.495
31,PCorrU,44.6666666666667
32,PDC,33.9175
33,PH2D,38.2425
34,PH2U,42.1533333333333
35,PMITD1,39.325
36,PMITD2,39.415
37,PMITU,40.1333333333333
38,PTED,36.4775
39,PTEU,37.0975
40,Smvar,38.6233333333333
41,Tigress,47.46
