,Method_name,Sum_of_avg_across_patients
1,Af,40.32
2,AS,40.24
3,BCohF,43.6
4,BCohW,0
5,BCorrD,42
6,BCorrU,43.04
7,BH2D,40.92
8,BH2U,42.08
9,BMITD1,40.88
10,BMITD2,40.96
11,BMITU,38.16
12,BTED,40.88
13,BTEU,41.4
14,COH1,42.64
15,COH2,40.4
16,DC1,40.6
17,dDTF,41.12
18,DTF,40.28
19,ffDTF,40.28
20,Genie,41.64
21,GGC,40.04
22,GPDC,40.76
23,hmvar,40.36
24,MVAR,40.2
25,oPDCF,40.28
26,pCOH1,45.36
27,pCOH2,45.36
28,PCohF,48.72
29,PCohW,0
30,PCorrD,42.12
31,PCorrU,44.64
32,PDC,40.2
33,PH2D,41.08
34,PH2U,42.32
35,PMITD1,41.68
36,PMITD2,41.8
37,PMITU,40.16
38,PTED,40.84
39,PTEU,41.36
40,Smvar,38.88
41,Tigress,47.04
