,Method_name,Median_across_patients
1,BCohF,0.893333333333333
2,BCorrU,0.893333333333333
3,BF_BCmean,0.82
4,BF_BCmedian,0.74
5,BF_PF_BCmean,0.82
6,BF_PF_BCmedian,0.74
7,BF_PFmean,0.82
8,BF_PFmedian,0.75
9,PCohF,0.946666666666667
10,PF_BCmean,0.83
11,PF_BCmedian,0.74
12,T_BCmean,0.95
13,T_BCmedian,0.93
14,T_BF_BCmean,0.9425
15,T_BF_BCmedian,0.8675
16,T_BF_PF_BCmean,0.925
17,T_BF_PF_BCmedian,0.845
18,T_BF_PFmean,0.9425
19,T_BF_PFmedian,0.8025
20,T_BFmean,0.955
21,T_BFmedian,0.945
22,T_PF_BCmean,0.95
23,T_PF_BCmedian,0.8975
24,T_PFmean,0.96
25,T_PFmedian,0.95
26,Tigress,0.96
