,Method_name,Sum_of_avg_across_patients
1,Af,40.48
2,AS,40.52
3,BCohF,45.92
4,BCohW,0
5,BCorrD,41.76
6,BCorrU,43.76
7,BH2D,41.12
8,BH2U,41.84
9,BMITD1,40.72
10,BMITD2,40.88
11,BMITU,41.12
12,BTED,40.16
13,BTEU,41.4
14,COH1,44.08
15,COH2,43.44
16,DC1,40.68
17,dDTF,42.24
18,DTF,40.28
19,ffDTF,40.56
20,Genie,42.04
21,GGC,40.04
22,GPDC,40.84
23,hmvar,40.28
24,MVAR,40.44
25,oPDCF,40.4
26,pCOH1,46.24
27,pCOH2,46.24
28,PCohF,47.2
29,PCohW,0
30,PCorrD,41.12
31,PCorrU,36.48
32,PDC,40.48
33,PH2D,41.04
34,PH2U,34.32
35,PMITD1,41.04
36,PMITD2,40.96
37,PMITU,46.4
38,PTED,40.84
39,PTEU,41
40,Smvar,37.2
41,Tigress,47.88
