,Method_name,Sum_of_avg_across_patients
1,Af,34.655
2,AS,35.0075
3,BCohF,46.5866666666667
4,BCohW,0
5,BCorrD,40.8475
6,BCorrU,44.1533333333333
7,BH2D,38.47
8,BH2U,42.4933333333333
9,BMITD1,38.7075
10,BMITD2,38.7625
11,BMITU,41.5333333333333
12,BTED,34.28
13,BTEU,38.74
14,COH1,44.9166666666667
15,COH2,44.3666666666667
16,DC1,36.6125
17,dDTF,41.2
18,DTF,34.95
19,ffDTF,35.545
20,Genie,41.6575
21,GGC,30.0125
22,GPDC,36.555
23,hmvar,34.5
24,MVAR,35.0825
25,oPDCF,35.2975
26,pCOH1,46.81
27,pCOH2,46.8133333333333
28,PCohF,47.7066666666667
29,PCohW,0
30,PCorrD,37.415
31,PCorrU,35.1733333333333
32,PDC,35.2325
33,PH2D,37.115
34,PH2U,32.4
35,PMITD1,40.47
36,PMITD2,40.38
37,PMITU,46.9133333333333
38,PTED,36.8
39,PTEU,38.165
40,Smvar,36.36
41,Tigress,48.3425
