,Method_name,Median_across_patients
1,Af,0.5675
2,AS,0.5825
3,BCohF,0.966666666666667
4,BCohW,0
5,BCorrD,0.8
6,BCorrU,0.893333333333333
7,BH2D,0.735
8,BH2U,0.86
9,BMITD1,0.7375
10,BMITD2,0.7325
11,BMITU,0.826666666666667
12,BTED,0.57
13,BTEU,0.72
14,COH1,0.933333333333333
15,COH2,0.92
16,DC1,0.6575
17,dDTF,0.8
18,DTF,0.585
19,ffDTF,0.615
20,Genie,0.84
21,GGC,0.3825
22,GPDC,0.6375
23,hmvar,0.565
24,MVAR,0.5925
25,oPDCF,0.59
26,pCOH1,0.96
27,pCOH2,0.96
28,PCohF,0.973333333333333
29,PCohW,0
30,PCorrD,0.68
31,PCorrU,0.693333333333333
32,PDC,0.59
33,PH2D,0.6675
34,PH2U,0.626666666666666
35,PMITD1,0.81
36,PMITD2,0.8075
37,PMITU,0.973333333333333
38,PTED,0.6675
39,PTEU,0.715
40,Smvar,0.706666666666667
41,Tigress,0.9825
