,Method_name,Sum_of_avg_across_patients
1,Af,41.08
2,AS,40.68
3,BCohF,44.16
4,BCohW,0
5,BCorrD,41.84
6,BCorrU,43.28
7,BH2D,41.08
8,BH2U,41.76
9,BMITD1,41.2
10,BMITD2,41.16
11,BMITU,37.28
12,BTED,41.04
13,BTEU,41.08
14,COH1,41.04
15,COH2,37.36
16,DC1,40.44
17,dDTF,41.36
18,DTF,40.52
19,ffDTF,40.56
20,Genie,42.92
21,GGC,40.36
22,GPDC,40.52
23,hmvar,40.8
24,MVAR,40.72
25,oPDCF,41.52
26,pCOH1,40.88
27,pCOH2,40.88
28,PCohF,46.08
29,PCohW,0
30,PCorrD,42.4
31,PCorrU,38.16
32,PDC,41.04
33,PH2D,40.76
34,PH2U,39.12
35,PMITD1,41.48
36,PMITD2,41.4
37,PMITU,39.36
38,PTED,41.04
39,PTEU,40.8
40,Smvar,37.76
41,Tigress,46.6
