,Method_name,Sum_of_avg_across_patients
1,Af,40.32
2,AS,40.44
3,BCohF,42.32
4,BCohW,0
5,BCorrD,41.76
6,BCorrU,41.92
7,BH2D,40.88
8,BH2U,40.96
9,BMITD1,41.52
10,BMITD2,41.44
11,BMITU,39.04
12,BTED,40.88
13,BTEU,41.52
14,COH1,42.4
15,COH2,40.4
16,DC1,40.8
17,dDTF,41.68
18,DTF,40.6
19,ffDTF,40.56
20,Genie,41.2
21,GGC,40.08
22,GPDC,40.96
23,hmvar,40.4
24,MVAR,40.44
25,oPDCF,40.4
26,pCOH1,45.12
27,pCOH2,45.12
28,PCohF,47.68
29,PCohW,0
30,PCorrD,41.68
31,PCorrU,45.28
32,PDC,40.52
33,PH2D,40.64
34,PH2U,40.96
35,PMITD1,41.56
36,PMITD2,41.52
37,PMITU,42
38,PTED,40.92
39,PTEU,41.08
40,Smvar,36.96
41,Tigress,44.8
